fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
34,car,0.616,2,1302,308,1354,363,,0.0,0,0,0,0,
35,bus,0.912,1,1355,163,1691,429,MATRICULA,0.484,1588,379,1634,392,MATRICULA
35,car,0.597,2,1302,309,1352,362,,0.0,0,0,0,0,
36,bus,0.92,1,1355,166,1681,427,MATRICULA,0.484,1588,379,1634,392,MATRICULA
36,car,0.6,2,1302,310,1351,362,,0.0,0,0,0,0,
37,bus,0.919,1,1354,166,1674,425,MATRICULA,0.484,1588,379,1634,392,MATRICULA
37,car,0.54,2,1302,311,1350,362,,0.0,0,0,0,0,
38,bus,0.908,1,1352,168,1668,424,MATRICULA,0.484,1588,379,1634,392,MATRICULA
38,car,0.486,2,1302,313,1348,362,,0.0,0,0,0,0,
39,bus,0.903,1,1351,167,1661,422,MATRICULA,0.484,1588,379,1634,392,MATRICULA
39,car,0.475,2,1302,314,1347,361,,0.0,0,0,0,0,
40,bus,0.909,1,1349,169,1655,421,MATRICULA,0.484,1588,379,1634,392,MATRICULA
40,car,0.449,2,1302,314,1347,362,,0.0,0,0,0,0,
41,bus,0.925,1,1349,172,1649,417,MATRICULA,0.484,1588,379,1634,392,MATRICULA
41,car,0.511,2,1303,315,1345,360,,0.0,0,0,0,0,
42,bus,0.932,1,1346,175,1644,416,MATRICULA,0.484,1588,379,1634,392,MATRICULA
42,car,0.462,2,1302,316,1344,360,,0.0,0,0,0,0,
43,bus,0.929,1,1344,176,1637,415,MATRICULA,0.484,1588,379,1634,392,MATRICULA
43,car,0.534,2,1302,316,1342,361,,0.0,0,0,0,0,
44,bus,0.929,1,1343,178,1635,414,MATRICULA,0.484,1588,379,1634,392,MATRICULA
44,car,0.42,2,1300,316,1341,361,,0.0,0,0,0,0,
45,bus,0.92,1,1342,179,1630,412,MATRICULA,0.484,1588,379,1634,392,MATRICULA
46,bus,0.923,1,1341,181,1626,412,MATRICULA,0.484,1588,379,1634,392,MATRICULA
47,bus,0.917,1,1341,182,1623,413,MATRICULA,0.484,1588,379,1634,392,MATRICULA
48,bus,0.921,1,1340,184,1615,413,MATRICULA,0.484,1588,379,1634,392,MATRICULA
49,bus,0.916,1,1340,185,1612,412,MATRICULA,0.484,1588,379,1634,392,MATRICULA
50,bus,0.926,1,1340,188,1603,411,MATRICULA,0.484,1588,379,1634,392,MATRICULA
51,bus,0.939,1,1337,188,1598,411,MATRICULA,0.484,1588,379,1634,392,MATRICULA
52,bus,0.923,1,1336,189,1595,411,MATRICULA,0.484,1588,379,1634,392,MATRICULA
53,bus,0.922,1,1335,190,1591,411,MATRICULA,0.484,1588,379,1634,392,MATRICULA
54,bus,0.919,1,1334,191,1591,409,MATRICULA,0.484,1588,379,1634,392,MATRICULA
55,bus,0.901,1,1334,191,1584,409,MATRICULA,0.484,1588,379,1634,392,MATRICULA
56,bus,0.905,1,1334,192,1579,408,MATRICULA,0.484,1588,379,1634,392,MATRICULA
57,bus,0.91,1,1334,192,1575,407,MATRICULA,0.484,1588,379,1634,392,MATRICULA
58,bus,0.914,1,1333,193,1570,406,MATRICULA,0.484,1588,379,1634,392,MATRICULA
59,bus,0.905,1,1332,195,1567,404,MATRICULA,0.484,1588,379,1634,392,MATRICULA
60,bus,0.894,1,1333,195,1563,404,MATRICULA,0.484,1588,379,1634,392,MATRICULA
61,bus,0.909,1,1333,196,1561,404,MATRICULA,0.484,1588,379,1634,392,MATRICULA
62,bus,0.901,1,1333,198,1555,405,MATRICULA,0.484,1588,379,1634,392,MATRICULA
63,bus,0.881,1,1330,198,1551,405,MATRICULA,0.484,1588,379,1634,392,MATRICULA
63,car,0.407,2,1289,321,1328,358,,0.0,0,0,0,0,
64,bus,0.867,1,1328,198,1548,403,MATRICULA,0.484,1588,379,1634,392,MATRICULA
64,car,0.435,2,1288,318,1327,358,,0.0,0,0,0,0,
65,bus,0.844,1,1327,199,1543,401,MATRICULA,0.484,1588,379,1634,392,MATRICULA
65,car,0.438,2,1288,319,1326,359,,0.0,0,0,0,0,
66,bus,0.806,1,1326,200,1539,400,MATRICULA,0.484,1588,379,1634,392,MATRICULA
66,car,0.48,2,1287,318,1326,360,,0.0,0,0,0,0,
67,bus,0.764,1,1325,201,1536,397,MATRICULA,0.484,1588,379,1634,392,MATRICULA
67,car,0.455,2,1287,319,1325,359,,0.0,0,0,0,0,
68,bus,0.768,1,1324,202,1533,396,MATRICULA,0.484,1588,379,1634,392,MATRICULA
68,car,0.467,2,1287,320,1325,359,,0.0,0,0,0,0,
69,bus,0.744,1,1323,204,1530,395,MATRICULA,0.484,1588,379,1634,392,MATRICULA
69,car,0.509,2,1286,320,1326,360,,0.0,0,0,0,0,
70,bus,0.758,1,1324,205,1527,397,MATRICULA,0.484,1588,379,1634,392,MATRICULA
70,car,0.441,2,1286,319,1326,358,,0.0,0,0,0,0,
71,bus,0.76,1,1322,205,1524,396,MATRICULA,0.484,1588,379,1634,392,MATRICULA
71,car,0.518,2,1286,319,1325,358,,0.0,0,0,0,0,
72,bus,0.768,1,1320,208,1523,394,MATRICULA,0.484,1588,379,1634,392,MATRICULA
72,car,0.603,2,1286,318,1323,358,,0.0,0,0,0,0,
73,bus,0.786,1,1320,209,1520,393,MATRICULA,0.484,1588,379,1634,392,MATRICULA
73,car,0.592,2,1286,320,1323,357,,0.0,0,0,0,0,
74,bus,0.774,1,1320,210,1516,392,MATRICULA,0.484,1588,379,1634,392,MATRICULA
74,car,0.586,2,1285,321,1322,356,,0.0,0,0,0,0,
75,bus,0.782,1,1319,210,1513,392,MATRICULA,0.484,1588,379,1634,392,MATRICULA
75,car,0.526,2,1285,321,1321,355,,0.0,0,0,0,0,
76,bus,0.747,1,1319,211,1510,391,MATRICULA,0.484,1588,379,1634,392,MATRICULA
76,car,0.507,2,1285,317,1320,355,,0.0,0,0,0,0,
77,bus,0.682,1,1318,212,1507,391,MATRICULA,0.484,1588,379,1634,392,MATRICULA
77,car,0.548,2,1285,316,1319,356,,0.0,0,0,0,0,
78,bus,0.686,1,1318,212,1505,390,MATRICULA,0.484,1588,379,1634,392,MATRICULA
78,car,0.507,2,1285,313,1318,356,,0.0,0,0,0,0,
79,bus,0.611,1,1317,213,1503,390,MATRICULA,0.484,1588,379,1634,392,MATRICULA
79,car,0.433,2,1284,311,1318,355,,0.0,0,0,0,0,
80,bus,0.769,1,1316,214,1500,390,MATRICULA,0.484,1588,379,1634,392,MATRICULA
81,bus,0.792,1,1316,215,1499,389,MATRICULA,0.484,1588,379,1634,392,MATRICULA
82,bus,0.777,1,1316,215,1497,390,MATRICULA,0.484,1588,379,1634,392,MATRICULA
83,bus,0.775,1,1314,215,1495,389,MATRICULA,0.484,1588,379,1634,392,MATRICULA
84,bus,0.737,1,1314,215,1491,388,MATRICULA,0.484,1588,379,1634,392,MATRICULA
85,bus,0.707,1,1314,216,1489,388,MATRICULA,0.484,1588,379,1634,392,MATRICULA
86,bus,0.66,1,1316,216,1486,387,MATRICULA,0.484,1588,379,1634,392,MATRICULA
87,bus,0.51,1,1316,216,1485,386,MATRICULA,0.484,1588,379,1634,392,MATRICULA
88,bus,0.575,1,1315,216,1482,387,MATRICULA,0.484,1588,379,1634,392,MATRICULA
89,bus,0.616,1,1314,217,1480,385,MATRICULA,0.484,1588,379,1634,392,MATRICULA
90,truck,0.473,1,1313,218,1479,384,MATRICULA,0.484,1588,379,1634,392,MATRICULA
91,bus,0.469,1,1313,219,1477,383,MATRICULA,0.484,1588,379,1634,392,MATRICULA
91,car,0.446,5,1460,317,1515,379,,0.0,0,0,0,0,
92,bus,0.686,1,1314,220,1475,382,MATRICULA,0.484,1588,379,1634,392,MATRICULA
92,car,0.558,5,1456,319,1515,379,,0.0,0,0,0,0,
93,bus,0.519,1,1313,221,1471,382,MATRICULA,0.484,1588,379,1634,392,MATRICULA
93,car,0.523,5,1454,320,1514,379,,0.0,0,0,0,0,
94,truck,0.45,1,1312,222,1468,382,MATRICULA,0.484,1588,379,1634,392,MATRICULA
94,car,0.586,5,1453,320,1514,379,,0.0,0,0,0,0,
94,person,0.61,6,0,249,41,478,,0.0,0,0,0,0,
95,bus,0.522,1,1312,223,1466,381,MATRICULA,0.484,1588,379,1634,392,MATRICULA
95,car,0.615,5,1451,320,1513,380,,0.0,0,0,0,0,
95,person,0.76,6,0,237,53,486,,0.0,0,0,0,0,
96,bus,0.703,1,1311,223,1464,381,MATRICULA,0.484,1588,379,1634,392,MATRICULA
96,car,0.725,5,1449,319,1513,381,,0.0,0,0,0,0,
96,person,0.793,6,0,234,60,488,,0.0,0,0,0,0,
97,bus,0.754,1,1311,224,1463,380,MATRICULA,0.484,1588,379,1634,392,MATRICULA
97,car,0.71,5,1449,320,1514,381,,0.0,0,0,0,0,
97,person,0.834,6,0,231,68,490,,0.0,0,0,0,0,
98,bus,0.727,1,1310,226,1461,380,MATRICULA,0.484,1588,379,1634,392,MATRICULA
98,car,0.721,5,1446,320,1514,381,,0.0,0,0,0,0,
98,person,0.825,6,0,232,73,491,,0.0,0,0,0,0,
99,bus,0.784,1,1310,226,1460,380,MATRICULA,0.484,1588,379,1634,392,MATRICULA
99,car,0.712,5,1443,320,1514,381,,0.0,0,0,0,0,
99,person,0.825,6,0,235,77,492,,0.0,0,0,0,0,
100,bus,0.809,1,1308,226,1459,378,MATRICULA,0.484,1588,379,1634,392,MATRICULA
100,car,0.672,5,1438,320,1516,381,,0.0,0,0,0,0,
100,person,0.834,6,0,234,78,494,,0.0,0,0,0,0,
101,bus,0.7,1,1308,227,1458,379,MATRICULA,0.484,1588,379,1634,392,MATRICULA
101,car,0.698,5,1436,320,1516,381,,0.0,0,0,0,0,
101,person,0.863,6,0,233,79,497,,0.0,0,0,0,0,
102,bus,0.783,1,1309,228,1457,378,MATRICULA,0.484,1588,379,1634,392,MATRICULA
102,car,0.696,5,1434,320,1517,382,,0.0,0,0,0,0,
102,person,0.851,6,0,231,83,495,,0.0,0,0,0,0,
103,bus,0.764,1,1309,229,1456,379,MATRICULA,0.484,1588,379,1634,392,MATRICULA
103,car,0.718,5,1435,320,1518,382,,0.0,0,0,0,0,
103,person,0.882,6,0,230,89,495,,0.0,0,0,0,0,
104,bus,0.623,1,1309,229,1455,379,MATRICULA,0.484,1588,379,1634,392,MATRICULA
104,car,0.727,5,1435,320,1518,382,,0.0,0,0,0,0,
104,person,0.832,6,2,232,96,492,,0.0,0,0,0,0,
105,bus,0.772,1,1308,229,1453,379,MATRICULA,0.484,1588,379,1634,392,MATRICULA
105,car,0.728,5,1435,320,1519,382,,0.0,0,0,0,0,
105,person,0.857,6,9,230,105,492,,0.0,0,0,0,0,
106,bus,0.751,1,1308,230,1450,379,MATRICULA,0.484,1588,379,1634,392,MATRICULA
106,car,0.736,5,1434,320,1519,382,,0.0,0,0,0,0,
106,person,0.877,6,19,228,114,492,,0.0,0,0,0,0,
107,bus,0.659,1,1308,232,1446,378,MATRICULA,0.484,1588,379,1634,392,MATRICULA
107,car,0.731,5,1433,320,1519,382,,0.0,0,0,0,0,
107,person,0.875,6,26,228,131,492,,0.0,0,0,0,0,
108,bus,0.654,1,1307,232,1445,378,MATRICULA,0.484,1588,379,1634,392,MATRICULA
108,car,0.731,5,1433,320,1519,381,,0.0,0,0,0,0,
108,person,0.85,6,30,229,147,491,,0.0,0,0,0,0,
108,car,0.427,9,1262,313,1299,348,,0.0,0,0,0,0,
109,bus,0.762,1,1304,232,1445,378,MATRICULA,0.484,1588,379,1634,392,MATRICULA
109,car,0.744,5,1431,320,1518,381,,0.0,0,0,0,0,
109,person,0.864,6,34,230,157,490,,0.0,0,0,0,0,
109,car,0.46,9,1262,312,1298,348,,0.0,0,0,0,0,
110,bus,0.755,1,1303,233,1443,377,MATRICULA,0.484,1588,379,1634,392,MATRICULA
110,car,0.757,5,1431,321,1518,381,,0.0,0,0,0,0,
110,person,0.869,6,38,232,164,488,,0.0,0,0,0,0,
110,car,0.533,9,1263,312,1298,347,,0.0,0,0,0,0,
111,bus,0.695,1,1301,233,1440,377,MATRICULA,0.484,1588,379,1634,392,MATRICULA
111,car,0.759,5,1430,321,1518,381,,0.0,0,0,0,0,
111,person,0.863,6,40,234,165,487,,0.0,0,0,0,0,
111,car,0.509,9,1263,312,1298,348,,0.0,0,0,0,0,
112,bus,0.599,1,1298,233,1437,377,MATRICULA,0.484,1588,379,1634,392,MATRICULA
112,car,0.768,5,1428,321,1517,382,,0.0,0,0,0,0,
112,person,0.852,6,40,239,169,487,,0.0,0,0,0,0,
112,car,0.506,9,1263,312,1297,348,,0.0,0,0,0,0,
113,bus,0.508,1,1297,234,1435,377,MATRICULA,0.484,1588,379,1634,392,MATRICULA
113,car,0.778,5,1428,321,1517,382,,0.0,0,0,0,0,
113,person,0.846,6,45,241,170,488,,0.0,0,0,0,0,
113,car,0.513,9,1262,312,1296,348,,0.0,0,0,0,0,
114,truck,0.563,1,1296,235,1433,377,MATRICULA,0.484,1588,379,1634,392,MATRICULA
114,car,0.796,5,1425,320,1517,382,,0.0,0,0,0,0,
114,person,0.834,6,51,240,170,490,,0.0,0,0,0,0,
114,car,0.466,9,1262,312,1294,347,,0.0,0,0,0,0,
115,truck,0.503,1,1295,236,1431,377,MATRICULA,0.484,1588,379,1634,392,MATRICULA
115,car,0.788,5,1424,321,1517,382,,0.0,0,0,0,0,
