fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
24,car,0.843,2,1307,314,1367,363,,0.0,0,0,0,0,
24,car,0.522,4,1221,321,1262,344,,0.0,0,0,0,0,
25,bus,0.934,1,1362,141,1769,435,,0.0,0,0,0,0,
25,car,0.837,2,1307,313,1366,363,,0.0,0,0,0,0,
25,car,0.481,4,1221,323,1261,345,,0.0,0,0,0,0,
25,person,0.452,5,1011,313,1034,369,,0.0,0,0,0,0,
26,bus,0.931,1,1361,144,1755,434,,0.0,0,0,0,0,
26,car,0.835,2,1307,313,1364,363,,0.0,0,0,0,0,
26,car,0.461,4,1222,324,1261,345,,0.0,0,0,0,0,
27,bus,0.947,1,1359,147,1742,430,,0.0,0,0,0,0,
27,car,0.829,2,1306,313,1362,364,,0.0,0,0,0,0,
27,car,0.482,4,1223,325,1261,345,,0.0,0,0,0,0,
28,bus,0.95,1,1358,150,1736,428,,0.0,0,0,0,0,
28,car,0.815,2,1307,313,1361,363,,0.0,0,0,0,0,
28,car,0.504,4,1222,325,1261,345,,0.0,0,0,0,0,
29,bus,0.943,1,1357,152,1727,428,,0.0,0,0,0,0,
29,car,0.806,2,1306,312,1361,363,,0.0,0,0,0,0,
29,car,0.495,4,1223,326,1261,345,,0.0,0,0,0,0,
29,person,0.524,5,1015,300,1041,367,,0.0,0,0,0,0,
30,bus,0.945,1,1355,153,1721,426,,0.0,0,0,0,0,
30,car,0.775,2,1306,312,1361,363,,0.0,0,0,0,0,
30,car,0.507,4,1223,326,1261,345,,0.0,0,0,0,0,
30,person,0.468,5,1017,297,1044,368,,0.0,0,0,0,0,
31,bus,0.94,1,1353,155,1718,426,,0.0,0,0,0,0,
31,car,0.725,2,1306,311,1359,363,,0.0,0,0,0,0,
31,car,0.502,4,1223,326,1261,344,,0.0,0,0,0,0,
32,bus,0.936,1,1351,156,1709,425,,0.0,0,0,0,0,
32,car,0.722,2,1306,312,1358,362,,0.0,0,0,0,0,
32,car,0.528,4,1224,325,1261,344,,0.0,0,0,0,0,
32,person,0.484,5,1019,306,1044,368,,0.0,0,0,0,0,
33,bus,0.937,1,1350,158,1702,425,,0.0,0,0,0,0,
33,car,0.711,2,1305,311,1357,363,,0.0,0,0,0,0,
33,car,0.558,4,1223,325,1260,343,,0.0,0,0,0,0,
34,bus,0.937,1,1349,160,1698,427,,0.0,0,0,0,0,
34,car,0.718,2,1304,311,1355,362,,0.0,0,0,0,0,
34,car,0.503,4,1223,322,1260,343,,0.0,0,0,0,0,
35,bus,0.94,1,1347,162,1688,427,,0.0,0,0,0,0,
35,car,0.718,2,1304,312,1354,362,,0.0,0,0,0,0,
35,car,0.564,4,1223,321,1260,343,,0.0,0,0,0,0,
36,bus,0.936,1,1345,164,1681,426,,0.0,0,0,0,0,
36,car,0.694,2,1303,314,1353,361,,0.0,0,0,0,0,
36,car,0.561,4,1223,320,1260,343,,0.0,0,0,0,0,
37,bus,0.947,1,1344,165,1672,421,,0.0,0,0,0,0,
37,car,0.681,2,1303,316,1351,360,,0.0,0,0,0,0,
38,bus,0.939,1,1343,167,1667,420,,0.0,0,0,0,0,
38,car,0.702,2,1303,317,1349,360,,0.0,0,0,0,0,
39,bus,0.945,1,1343,168,1662,419,,0.0,0,0,0,0,
39,car,0.754,2,1303,317,1348,360,,0.0,0,0,0,0,
40,bus,0.942,1,1342,170,1655,416,,0.0,0,0,0,0,
40,car,0.71,2,1302,317,1347,360,,0.0,0,0,0,0,
41,bus,0.947,1,1341,172,1649,415,,0.0,0,0,0,0,
41,car,0.751,2,1302,317,1346,359,,0.0,0,0,0,0,
41,person,0.433,5,1029,323,1052,368,,0.0,0,0,0,0,
41,car,0.416,4,1223,318,1258,343,,0.0,0,0,0,0,
42,bus,0.94,1,1340,174,1642,415,,0.0,0,0,0,0,
