Frame,Tiempo,EasyOCR,CRNN_Custom
2743,00:01:49.720,,10MZ
2744,00:01:49.760,,10MZ
2745,00:01:49.800,,10MZ
2746,00:01:49.840,,10MZ
2747,00:01:49.880,,10MZ
2748,00:01:49.920,,10MZ
2754,00:01:50.160,,10MZ
2756,00:01:50.240,,10MZ
2757,00:01:50.280,,10MZ
2758,00:01:50.320,,10MZ
2761,00:01:50.440,,10MZ
2768,00:01:50.720,,10MZ
2770,00:01:50.800,,10MZ
2775,00:01:51.000,,10MZ
2776,00:01:51.040,,10MZ
2777,00:01:51.080,,10MZ
2778,00:01:51.120,,10MZ
2779,00:01:51.160,,10MZ
2780,00:01:51.200,,10MZ
2781,00:01:51.240,,10MZ
2782,00:01:51.280,,10MZ
2783,00:01:51.320,,10MZ
2784,00:01:51.360,,10MZ
2785,00:01:51.400,,10MZ
2786,00:01:51.440,,10MZ
2787,00:01:51.480,,10MZ
2788,00:01:51.520,,10MZ
2789,00:01:51.560,,10MZ
2790,00:01:51.600,,10MZ
2791,00:01:51.640,,10MZ
2792,00:01:51.680,,10MZ
2793,00:01:51.720,,10MZ
2794,00:01:51.760,,10MZ
2795,00:01:51.800,,10MZ
2796,00:01:51.840,,10MZ
2797,00:01:51.880,,10MZ
2798,00:01:51.920,,10MZ
2799,00:01:51.960,,10MZ
2800,00:01:52.000,,10MZ
2801,00:01:52.040,,10MZ
2802,00:01:52.080,,10MZ
2803,00:01:52.120,,10MZ
2804,00:01:52.160,,10MZ
2805,00:01:52.200,,10MZ
2806,00:01:52.240,,10MZ
2807,00:01:52.280,,10MZ
2808,00:01:52.320,,10MZ
2809,00:01:52.360,,10MZ
2810,00:01:52.400,,10MZ
2811,00:01:52.440,,10MZ
2812,00:01:52.480,,10MZ
2813,00:01:52.520,,10MZ
2814,00:01:52.560,,10MZ
2815,00:01:52.600,,10MZ
2817,00:01:52.680,,10MZ
2821,00:01:52.840,,10MZ
2823,00:01:52.920,,10MZ
2824,00:01:52.960,,10MZ
2825,00:01:53.000,,10MZ
2827,00:01:53.080,,10MZ
2828,00:01:53.120,,10MZ
2829,00:01:53.160,,10MZ
2830,00:01:53.200,,10MZ
2831,00:01:53.240,,10MZ
2832,00:01:53.280,,10MZ
